BLDG_LMT deductible evt_yr BLDG_AGE ShingleRoof FrameConstruction SingleFamily RPT_Delay paidloss HailSize
279000 1000 2013 19 1 1 1 1.60238310135417 34667.54 1
311500 500 2014 5 1 0 1 8.41882340771991 23534.86 1.75
165500 500 2014 55 1 1 1 11.4042909572454 0 2
229600 2000 2013 5 1 1 1 10.7202125209259 7720.62 2.25
154600 1000 2014 27 1 1 1 1.05031180625 20.5 3.75
260900 1000 2013 3 1 1 1 25.6082860165856 13731.89 2.25
161000 1000 2013 47 1 1 1 21.5284286245718 0 1.5
182300 1000 2014 8 1 1 1 2.50812618956019 7849.55 3
187400 500 2014 43 1 1 1 1.83534148078704 9992.22 1.75
84400 250 2014 97 1 1 1 17.4500600252894 0 1
176700 250 2013 36 1 1 1 69.3864466479514 11136.74 1
178100 250 2013 35 1 1 1 6.49354505965278 8024.42 1
186000 500 2013 9 1 1 1 22.5350695924769 11979.37 1.75
144700 100 2014 37 1 1 1 1.35133905164352 9991.25 1.75
109100 250 2014 15 1 1 1 69.5215975751389 655.65 4
304400 250 2013 45 0 1 1 1.58720566037037 16077.5 1.75
347400 500 2014 35 1 0 1 3.45232649322917 27285.3 3.5
209300 250 2013 25 1 1 1 0.882863305150463 10835.99 1.75
147900 500 2014 35 1 1 1 1.4258606649537 8077.48 3
142700 500 2013 32 1 0 1 20.4568567238542 3968.52 1.5
142200 250 2014 52 1 1 1 154.371422702442 9027.38 4
298600 250 2013 45 1 1 1 14.5636716726968 10843.99 2
295600 250 2013 10 1 1 1 20.4952351364236 17782.5 1.75
176400 100 2013 39 1 1 1 1.67793867293981 1419.73 1
276400 250 2014 35 1 1 1 7.41749794155093 20368.26 3.75
148400 500 2014 47 1 1 1 1.63344194802083 6584.87 3
258100 1000 2014 87 1 0 1 1.21740020334491 28351.8 3.5
179500 1500 2013 34 1 1 1 4.65994376982639 12475 2
345300 1000 2014 7 1 1 1 0.720079445810185 35902.43 1.75
140200 1000 2014 69 1 0 1 44.7051301037037 3544.35 3.75
196900 1000 2013 20 1 1 1 1.54312334609954 11874.54 2
3e+05 1000 2013 17 1 1 1 1.72169425284722 10304.29 1.25
158500 1000 2014 3 1 0 1 2.60741674518519 11715.25 3.5
192500 1000 2013 26 1 1 1 11.4122616418403 9031.47 2
260000 1000 2014 11 1 0 1 5.58192464895833 9715.65 2
232800 250 2014 25 1 0 1 27.5770487690509 4266.51 0.75
207000 250 2013 35 1 1 1 69.4957843940972 7678.86 1.25
107500 250 2014 58 1 1 1 1.33988628237269 18399.64 2.25
239400 1000 2013 27 1 1 1 15.6769913859375 13403.76 0.75
81200 250 2014 69 1 1 1 38.4290679582755 9341.52 2
239000 250 2013 24 1 1 1 1.34333772006944 10675.76 2
196500 500 2013 29 1 1 1 2.45212760662037 11993.9 1.25
480800 250 2013 27 1 1 1 0.886622568171296 26752.08 1.5
206700 500 2013 22 1 1 1 8.50356488515046 11374.32 1.75
342100 500 2013 23 1 1 1 4.67254235596065 33191.41 1.75
168300 500 2013 44 1 1 1 35.4553002703009 7170.76 1.75
202900 2000 2013 34 1 1 1 100.669714943958 4915.13 1.5
131100 1000 2014 44 1 0 1 1.39818327857639 0 4
127400 500 2013 6 1 1 1 1.42169897890046 4563.77 2.5
333900 2500 2014 10 1 1 1 0.843648741666667 0 1
150000 100 2014 54 1 1 1 1.49325081283565 15297.45 3.75
214600 250 2013 22 1 1 1 15.5067267044907 11471.98 2
167800 100 2013 20 1 1 1 1.38458886138889 2964.31 0.75
311700 1000 2013 7 1 1 1 6.59307656762731 31684.78 1.75
203400 250 2014 36 1 0 1 4.63226459960648 1263.93 2.25
318700 1000 2013 17 1 1 1 1.60881422642361 11229.79 0.75
165900 1000 2013 15 1 1 1 0.879357208020833 11341.96 3.75
200900 1000 2013 33 1 1 1 58.6390848647569 7637.33 1.25
296400 500 2013 4 1 1 1 1.35617951324074 13964.12 2.5
100300 1000 2014 64 1 0 1 20.7387080121991 7749.73 4
150300 1000 2013 12 1 1 1 73.5887073714699 10120.38 0.75
280600 1500 2013 15 1 1 1 2.64167968296296 17788.75 1
84100 1000 2014 88 1 1 1 35.4751493402546 5002.83 3.5
250000 1000 2013 92 1 1 1 10.6203561031713 9991.73 1.25
239500 1000 2014 1 1 1 1 0.655484646064815 14064 3
2e+05 1000 2013 56 1 0 1 32.6989754604282 12021.48 2
108000 1000 2014 60 1 0 1 1.40023447775463 0 4
150000 1000 2014 89 1 1 1 1.35266994136574 25709.69 2.75
117000 1000 2014 62 1 0 1 1.57326978699074 7502.07 1
223000 500 2014 79 1 1 1 2.50812791133102 29096.26 3.75
315200 500 2013 10 0 1 1 18.529166179919 20611.54 1.75
114700 250 2013 60 1 1 1 9.61278527383102 6896.26 4
214100 250 2013 19 1 0 1 1.19852730695602 9111.24 1.75
157600 500 2014 36 1 1 1 0.832768147800926 7056.03 1.5
164900 250 2013 11 1 0 1 20.8035922065046 4756.76 1.5
94600 250 2014 64 1 1 1 2.47732150811343 4560.39 1.25
220100 500 2013 33 1 1 1 10.4295269731713 7870.11 2
135400 250 2014 86 1 1 1 3.4300280084838 9973.28 1.25
164600 250 2013 53 1 1 1 3.4014891509375 0 0.75
295600 250 2014 128 1 0 1 1.42651989018519 40713.29 1.25
142900 500 2014 54 1 1 1 4.36972665891204 4109.92 1
126300 500 2014 61 1 0 1 31.450445324537 7315.48 2.25
183200 500 2013 28 1 1 1 1.70843339680556 8062.92 0.75
177100 500 2014 74 1 1 1 1.53158512862269 14325.4 3.5
177100 500 2014 74 1 1 1 5.41564223586806 11225.61 1.75
123600 1000 2014 123 1 1 1 54.4851422493287 0 2.25
339400 500 2013 34 1 1 1 49.463411258125 3762.17 1.25
127200 500 2014 36 1 0 1 2.46605044537037 4551.91 1.5
120600 500 2014 60 1 1 1 3.41450852665509 11037.52 2.25
153200 250 2013 7 1 1 1 9.45121064449074 5792.9 2.5
196100 250 2013 34 1 1 1 6.66463505332176 9323.65 1.5
132300 100 2013 37 1 1 1 6.45282254980324 11346.77 1.5
177300 100 2013 28 1 1 1 1.51922577483796 1032.17 1.5
414400 2500 2013 26 0 1 1 20.4455367928125 27692.42 1.5
169700 250 2013 39 1 1 1 2.62086922892361 9589.3 2
279400 500 2013 20 1 1 1 17.4940518772106 12098.75 1.5
103200 100 2014 81 1 1 1 1.34772121116898 21426.91 1.75
143400 500 2013 44 1 1 1 1.40930730167824 8385.34 1.75
124600 100 2014 104 1 1 1 2.57915832271991 16527.45 1.75
173200 500 2014 94 1 0 1 0.716664388981481 65865.33 1
297500 500 2013 47 1 1 1 34.6614424477546 8486.63 1
501700 500 2013 30 0 1 1 17.6044846325116 59215.94 1.75
192800 1000 2013 27 1 1 1 17.646752194213 15212.45 1.75
162500 1000 2013 27 1 1 1 3.36284485759259 6038.69 2.25
122900 1000 2014 53 1 1 1 61.8765058159606 3555.78 1.25
279200 1000 2014 12 1 1 1 130.397918431863 14785.59 2
269200 1000 2013 11 1 1 1 2.49462627981481 0 0.75
730500 1000 2013 4 1 0 1 36.626012629294 42093.61 2
158300 500 2014 27 1 1 0 62.6713641553009 0 1
142700 1000 2013 49 1 1 1 30.5320939847338 0 1.5
219900 1000 2013 35 1 0 1 6.54493448081019 0 2
156800 1000 2014 32 1 1 1 11.4959220309028 1789.92 2.25
269000 1000 2013 1 1 0 1 10.3673507351968 15443.87 1.75
159000 500 2013 13 1 1 1 8.91814470677083 5340.14 1.5
210000 1000 2013 37 1 1 1 63.4327396415278 8567.1 1.75
140900 1000 2014 34 1 1 1 1.65373750773148 5088.87 1
210000 1000 2014 20 1 1 1 6.59692106107639 14729.37 2
204400 250 2013 35 1 1 1 20.526216620544 2773.91 1.25
218300 500 2013 35 1 1 1 3.44951184962963 9833.74 1
195800 500 2014 13 1 1 1 1.78538909314815 24557.95 1.75
147400 250 2014 48 1 1 1 5.38461362634259 9666.52 1
196600 250 2013 26 1 1 1 27.7740688750347 11340.31 1
177200 250 2014 34 1 1 1 15.5870152374537 8982.78 1.75
274800 250 2013 25 1 1 1 1.33995298047454 11311.89 1
162900 250 2013 27 1 1 1 6.65485068289352 7137.5 2.25
139900 250 2014 19 1 1 1 23.6976962021181 3058.25 2.5
248200 250 2013 17 1 1 1 7.52972993863426 2424.33 3.25
246700 500 2013 17 1 1 1 20.6139260983681 9060.16 1
177900 500 2013 15 1 1 1 0.876372134525463 6186.29 2.5
120300 500 2013 35 1 1 1 7.68479213400463 3150.6 4
134200 250 2014 64 1 0 1 2.30069789005787 21844.43 1.75
140600 250 2013 43 1 1 1 31.6838121456944 4421.21 2
399800 500 2013 29 0 1 1 2.6993661594213 35598.19 1.75
107200 500 2014 48 1 0 1 33.4555770380671 8072.56 2.25
168300 250 2013 7 1 1 1 7.58815726059028 4675.62 2.5
406800 2000 2013 11 1 1 1 7.63589135621528 42154.97 0.75
96300 100 2014 56 1 1 1 1.54952468931713 0 1
304800 500 2014 74 1 0 1 28.616487376956 4116.49 2.5
107500 250 2013 46 1 1 1 1.67767407263889 12040.36 2
226100 500 2014 22 1 1 1 3.42101689167824 27377.65 2.75
127500 250 2013 73 1 1 1 4.42365742668981 19002.85 2.25
179600 500 2014 15 1 1 1 126.46653261015 11823.21 4
215200 1000 2013 47 1 0 1 1.5428030337963 3860.22 2
370500 1000 2014 9 1 1 1 1.36021666731481 64026.67 2.25
357300 1000 2013 8 1 1 1 2.40015156730324 35204.88 0.75
152000 500 2014 6 1 1 1 86.5857141397801 7906.46 3.75
151300 500 2013 22 1 0 1 2.41747670116898 10145.62 1.5
293900 1000 2014 9 1 0 1 1.4318847894213 35674.74 2.75
185900 1000 2013 2 1 1 1 9.39935091040509 12918.56 2.25
145400 1500 2014 91 1 1 1 3.45938608378472 16500 3
163400 1500 2013 8 1 1 1 1.49933484579861 467.89 1
115000 1000 2014 35 1 1 1 5.68798675695602 4851.87 3
408200 500 2013 24 0 1 1 45.4057685175463 29303.66 0.75
161700 250 2014 38 1 1 1 32.4929514074306 9589.3 2.25
280800 250 2013 17 1 1 1 13.4669342456134 16928.51 2.25
151900 250 2013 34 1 1 1 24.5897900531713 1009.99 1.75
630000 250 2014 16 1 1 1 37.7111722233449 2873.94 0.75
258300 500 2013 15 1 1 1 10.6001126414815 10109.77 2.25
121800 500 2014 19 1 1 1 7.55711449859954 0 1.75
136300 500 2013 35 1 1 1 92.4456662794907 4314.98 1
181200 500 2013 35 1 1 1 0.896821869861111 3889.74 0.75
184500 250 2013 23 1 1 1 1.48044302018519 8758.11 1
285200 250 2013 12 1 1 1 3.42936351371528 20083.44 2.25
135200 250 2014 53 1 0 1 1.33642351059028 18932.23 1.75
166700 250 2013 35 1 1 1 1.68633874314815 9219.95 2
134900 500 2014 52 1 1 1 102.555798102442 7167 2.25
613900 1000 2013 28 0 1 1 6.541282183125 47630.09 1.5
140700 250 2014 57 1 1 1 1.40274783336806 0 1.5
389200 1000 2014 11 1 1 1 1.55936875314815 107985.83 3
135300 250 2013 23 1 1 1 153.644197845417 1504.31 1.5
143600 100 2014 41 1 1 1 1.66693708196759 1448.56 2.5
205500 250 2013 40 1 1 1 13.5685465837616 8677.25 2
272900 1000 2014 9 1 0 1 1.42842026545139 10129.12 1
135100 1000 2014 37 1 1 1 8.4411277872338 5595.17 3.25
228800 1000 2013 33 1 1 1 0.898089620949074 10926.81 1.25
325800 1000 2013 21 1 1 1 6.72601075248843 25026.22 1.5
165900 500 2013 15 1 1 1 50.4153328051042 4247.12 0.75
117200 1000 2014 94 1 1 1 1.38996730912037 15176.02 2.5
233600 1000 2014 14 1 1 1 2.47436262626157 19647.42 1
178000 1000 2013 37 1 0 1 2.47696742421296 6465.41 1
113000 1000 2014 44 1 1 1 34.7085982413194 5114.98 2.25
174600 250 2014 48 1 1 1 69.5655629156018 15295.12 1
219600 500 2013 35 1 1 1 2.38932273229167 11341.19 1.5
192100 500 2014 21 1 1 1 6.5156295178125 7272.03 2.5
139700 1000 2014 49 1 0 1 0.813430912696759 14041.87 1.75
258800 250 2013 18 1 1 1 137.527243315197 9442.25 1.25
172600 500 2013 36 1 1 1 2.44719632743056 5703.71 2
274400 1000 2014 44 1 0 1 33.5045628578357 10510.18 2.25
316100 500 2014 18 1 1 1 1.56257509011574 15260.74 1.75
294500 500 2013 43 1 1 1 5.53099907189815 12050.88 1.75
136700 500 2014 34 1 0 1 1.49070572217593 5445.79 1.5
198300 500 2013 39 1 1 1 4.72648034380787 15458.45 1.5
157300 1000 2013 45 1 0 1 16.4947666167708 5244.19 1.75
127200 500 2014 49 1 1 1 19.6104731647222 8899.44 1.75
176300 500 2013 42 1 1 1 1.4954606755787 8709.14 2
146000 100 2014 51 1 0 1 55.4748322802431 8263.35 3.75
202700 100 2014 53 1 1 1 1.40573911961806 17450.37 4
211900 500 2013 35 1 1 0 108.37624892728 7951 1.25
164400 100 2014 54 1 1 1 1.39850577612269 2134.49 1.25
83400 250 2014 6 0 0 1 0.492701246354167 15523.57 2
186200 500 2014 35 1 1 1 49.6126038960417 0 1.75
183800 250 2013 24 1 1 1 38.6352670765856 11235.3 1
132400 250 2013 29 1 1 1 6.40667397450231 1024.79 1.5
206000 500 2013 44 1 1 1 2.4345068575463 10061.91 2
340500 500 2014 8 1 1 1 1.12297208108796 68747.82 2
134600 500 2014 88 1 1 1 1.38023563114583 14958.59 2.75
149300 1000 2013 37 1 1 1 18.6841367331944 6367.75 1.25
199500 1000 2013 33 1 1 1 6.57130873971065 11065.41 0.75
171900 1000 2014 48 1 1 1 5.73123611784722 14331.1 2.25
225100 1000 2014 7 1 0 1 2.47226924145833 1551.82 2.5
204000 1000 2014 17 1 1 1 38.6417387888079 19348.84 3.75
105200 250 2014 74 1 1 1 1.31297236011574 8699.55 3
170800 250 2013 28 1 1 1 1.68893026768519 8776.12 1
160200 500 2014 68 1 0 1 13.5340780370949 32.1 3.75
122400 250 2014 60 1 1 1 1.44207978357639 3308.42 1.75
142000 250 2014 45 1 0 1 1.38674899623843 15523 1.75
196200 250 2013 8 1 1 1 1.80649830204861 7093.84 2.5
339400 250 2014 5 1 1 1 1.30957625679398 76785.15 2
143300 500 2013 12 1 0 1 2.621784013125 9119.54 0.75
81000 500 2014 62 1 1 1 6.66880036958333 0 1
153600 1000 2013 38 1 1 1 4.42952386862269 8611 3
222000 250 2013 39 1 1 1 1.62875522763889 25970.56 1.5
263600 250 2014 19 1 1 1 7.56157573694444 1873.02 2.75
232700 100 2013 35 1 1 1 4.68554340079861 2025.45 0.75
249400 250 2014 24 1 0 1 1.43388105243056 20885.63 2
195700 250 2014 34 1 1 1 2.64215658517361 8212.2 1.75
90400 1000 2014 95 1 1 1 48.6625210258449 5061.73 2.25
171500 2500 2013 46 1 1 1 1.5879806377662 4328.03 1.75
199500 1000 2013 8 1 0 1 11.4601463377083 0 1.25
460500 2500 2013 29 0 1 1 3.68681377451389 43178.9 1.75
225700 1000 2013 29 1 1 1 1.74747001803241 10174.66 0.75
144000 500 2013 58 0 0 1 1.57081545484954 0 4
156300 500 2013 7 1 1 1 55.7618719464815 5720.68 0.75
141000 500 2014 79 1 0 1 0.69605144755787 40434.81 1.75
275600 500 2013 6 1 1 1 16.7931970490278 16322.77 2.5
182200 2000 2013 26 1 0 1 24.7995864255324 3790.99 1.75
152100 500 2013 20 1 1 1 3.45490553268519 10580.3 1
180200 1000 2013 33 1 1 1 1.41918771940972 0 4
254700 1000 2014 84 1 1 1 1.43451075673611 19161.83 1.25
228600 1500 2014 14 1 1 1 11.6436339438773 6849.39 2.5
